tweet_id,name,doggo,floofer,pupper,puppo
892420643555336193,Phineas,False,False,False,False
892177421306343426,Tilly,False,False,False,False
891815181378084864,Archie,False,False,False,False
891689557279858688,Darla,False,False,False,False
891327558926688256,Franklin,False,False,False,False
890971913173991426,Jax,False,False,False,False
890609185150312448,Zoey,False,False,False,False
890240255349198849,Cassie,True,False,False,False
890006608113172480,Koda,False,False,False,False
889880896479866881,Bruno,False,False,False,False
889665388333682689,,False,False,False,True
889638837579907072,Ted,False,False,False,False
889531135344209921,Stuart,False,False,False,True
889278841981685760,Oliver,False,False,False,False
888917238123831296,Jim,False,False,False,False
888804989199671297,Zeke,False,False,False,False
888554962724278272,Ralphus,False,False,False,False
888202515573088257,Canela,False,False,False,False
888078434458587136,Gerald,False,False,False,False
887705289381826560,Jeffrey,False,False,False,False
887473957103951883,Canela,False,False,False,False
886983233522544640,Maya,False,False,False,False
886736880519319552,Mingus,False,False,False,False
886680336477933568,Derek,False,False,False,False
886366144734445568,Roscoe,False,False,True,False
886258384151887873,Waffles,False,False,False,False
885984800019947520,Jimbo,False,False,False,False
885528943205470208,Maisey,False,False,False,False
885311592912609280,Lilly,False,False,False,False
884925521741709313,Earl,False,False,False,False
884876753390489601,Lola,False,False,False,False
884562892145688576,Kevin,False,False,False,False
884162670584377345,Yogi,True,False,False,False
883838122936631299,Noah,False,False,False,False
883482846933004288,Bella,False,False,False,False
883360690899218434,Grizzwald,False,True,False,False
882992080364220416,Rusty,False,False,False,False
882762694511734784,Gus,False,False,True,False
882627270321602560,Stanley,False,False,False,False
882268110199369728,Alfy,False,False,False,False
882045870035918850,Koko,False,False,False,False
881906580714921986,Rey,False,False,False,False
881666595344535552,Gary,False,False,False,False
881536004380872706,,False,False,True,False
881268444196462592,Elliot,False,False,False,False
880935762899988482,Louis,False,False,False,False
880465832366813184,Bella,False,False,False,False
880221127280381952,Jesse,False,False,False,False
879862464715927552,Romeo,False,False,False,False
879492040517615616,Bailey,False,False,False,False
879415818425184262,Duddles,False,False,False,False
879376492567855104,Jack,False,False,False,False
879130579576475649,Emmy,False,False,False,False
879050749262655488,Steven,False,False,False,False
879008229531029506,Beau,False,False,False,False
878776093423087618,Snoopy,False,False,False,True
878404777348136964,Shadow,False,False,False,False
878316110768087041,Terrance,False,False,False,False
878281511006478336,Shadow,False,False,False,False
878057613040115712,Emmy,False,False,False,False
877736472329191424,Aja,False,False,False,False
877611172832227328,,False,False,True,False
